Strategy report
Symbol: /M2K:XCME
Work Time: 11/30/20 5:02 PM - 12/1/20 6:32 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrat(MACDStratSE);Sell to Open;-100;-500.0;$1,827.50;11/30/20 5:02 PM;;$1,250.00;-500.0;
2;MACDStrat(MACDStratLE);Buy to Close;100;500.0;$1,825.80;11/30/20 5:08 PM;$850.00;$850.00;0.0;
3;MACDStrat(MACDStratLE);Buy to Open;100;500.0;$1,825.80;11/30/20 5:08 PM;;$650.00;500.0;
4;MACDStrat(MACDStratSE);Sell to Close;-100;-500.0;$1,826.50;11/30/20 5:17 PM;$350.00;$1,200.00;0.0;
5;MACDStrat(MACDStratSE);Sell to Open;-100;-500.0;$1,826.50;11/30/20 5:17 PM;;$1,350.00;-500.0;
6;MACDStrat(MACDStratLE);Buy to Close;100;500.0;$1,824.20;11/30/20 5:27 PM;$1,150.00;$2,350.00;0.0;
7;MACDStrat(MACDStratLE);Buy to Open;100;500.0;$1,824.20;11/30/20 5:27 PM;;$2,850.00;500.0;
8;MACDStrat(MACDStratSE);Sell to Close;-100;-500.0;$1,828.40;11/30/20 5:38 PM;$2,100.00;$4,450.00;0.0;
9;MACDStrat(MACDStratSE);Sell to Open;-100;-500.0;$1,828.40;11/30/20 5:38 PM;;$4,600.00;-500.0;
10;MACDStrat(MACDStratLE);Buy to Close;100;500.0;$1,831.10;11/30/20 5:46 PM;($1,350.00);$3,100.00;0.0;
11;MACDStrat(MACDStratLE);Buy to Open;100;500.0;$1,831.10;11/30/20 5:46 PM;;$3,100.00;500.0;
12;MACDStrat(MACDStratSE);Sell to Close;-100;-500.0;$1,831.50;11/30/20 5:51 PM;$200.00;$3,300.00;0.0;
13;MACDStrat(MACDStratSE);Sell to Open;-100;-500.0;$1,831.50;11/30/20 5:51 PM;;$2,750.00;-500.0;
14;MACDStrat(MACDStratLE);Buy to Close;100;500.0;$1,832.60;11/30/20 6:00 PM;($550.00);$2,750.00;0.0;
15;MACDStrat(MACDStratLE);Buy to Open;100;500.0;$1,832.60;11/30/20 6:00 PM;;$2,250.00;500.0;
16;MACDStrat(MACDStratSE);Sell to Close;-100;-500.0;$1,833.50;11/30/20 6:09 PM;$450.00;$3,200.00;0.0;
17;MACDStrat(MACDStratSE);Sell to Open;-100;-500.0;$1,833.50;11/30/20 6:09 PM;;$3,050.00;-500.0;
18;MACDStrat(MACDStratLE);Buy to Close;100;500.0;$1,831.60;11/30/20 6:19 PM;$950.00;$4,150.00;0.0;
19;MACDStrat(MACDStratLE);Buy to Open;100;500.0;$1,831.60;11/30/20 6:19 PM;;$4,250.00;500.0;
20;MACDStrat(MACDStratSE);Sell to Close;-100;-500.0;$1,831.50;11/30/20 6:28 PM;($50.00);$4,100.00;0.0;
21;MACDStrat(MACDStratSE);Sell to Open;-100;-500.0;$1,831.50;11/30/20 6:28 PM;;$4,000.00;-500.0;
